6310a5c786d2abda637997c0,2.25
66acd6fce13998efa02007a6,5.25
5f0dca1b95f13600097e1317,2.25
612f350052a72eaeac5b9703,5.25
66eb295e917ab5b37e00f625,2.55
56ab6fd869b24700065cbdbd,3.90
559b8c79fdf99b5ae13fd3d1,5.25
6744d143eddffd17d345b192,2.35
622bb4f79c52ad04bb91e752,2.20
611218c29a454f84484df681,5.25
670be097fae6e39ea154f7df,2.35
66a3e355362c7697f4d44d46,2.05
5c7ccbfe371d1d0015bcabc0,2.05
62b055a21e169809861b173d,6.25
5c12d53683c3cb0001172e89,2.65
666445e5b72745f04a4f57d6,2.05
5fb344483d8b23a8d2d106ca,2.35
65fbec18b9660955d6a93adf,3.90
5db8a8b7b41c4a000ea7afee,5.25
680e1b9a36b987121bbc9c9a,2.35
5cdd4befd3651c001950e539,3.20
5c62de3f48fe4e000180e09d,5.25
594ea461c6a70f00010aaa8d,6.25
66b23e1a82f20f59115e2255,3.20
5ce65aa96ad4e50001097566,2.25
57c426fa9fe51d00012391f1,3.90
6122b9ffce05d8e56860755a,2.35
5a7226d9f660ae0001a9a547,3.90
59e65d85c0d35a0001295175,3.30
5829f8eed7e5ff0001ff7d8d,2.65
665d5a08c8e61c18498d08c9,2.65
55c495d2fdf99b2d6cabb691,2.55
657065aa0c153f5a01470d1b,2.05
66eada82e2a59d472d2dd086,3.20
5f778d553167a12eae0e1c00,2.55
634d7250f674c11a71d1b88e,6.10
5c4e38f4d3a5e300018363ba,2.35
5ec1a76a903b335cae864ca8,2.25
63f11d008327663bc314b53b,3.60
582f8bbd4cadc80001b0fbd3,2.90
59b5a275c05bb50001eb3c4b,2.55
63039343fd5a2e6fb88d2c61,3.90
6663f3b2bc244a2d789b70a3,3.90
681b781064a5701a5ceee3bc,2.35
60fcb280d58f26d33cb004a6,2.25
5bfc2227f88f3900014b0e1d,8.90
6765e63b9cbc0ec185d7e8fa,2.35
663a28078139647b4663d09f,2.35
5a62653a63394a000155489f,3.90
6658c833dc9f95822cbcfad6,2.25
69790f77a4b7b95f1f7a0929,6.70
56cf6e8d31a5bc0006e1cdf5,3.90
669aa678bee50f1a83b7d2a7,2.05
574aff1b5bef980007af2745,2.90
5bd2034025db7b000178ad8a,2.35
67d4773442ee746bb00b2542,2.35
5c4dae9a889752000156b1db,2.25
66fd3f6c93c24ecc119be354,3.90
65319856c26aa4496e7c1582,3.90
61377f1af63764011235d8a0,2.20
66d339846ddb5871646d198c,2.05
56abcb46f209e0000adab961,8.00
6640e53eec06606709f75853,3.90
58bef6fd31de840001e84ba0,2.25
6137e32367aae15b0156bd7e,2.65
65df5233d304ddf8f514c0f4,2.30
678ce1ebd56c85701ebce209,2.65
5a1dda5480acd8000104a12b,2.25
642aff87ea9fb23585fc5ee3,2.05
614873a43b76bea1f97ee78f,6.25
676055469b245b53e81358d0,5.25
5f04a092b712400db27ef0f3,6.25
6100906e671b8294f9ea93d8,2.35
63d53d53a7a7b0379ba289cf,2.55
6043a1dc4c33ef37c64f0812,3.90
56153d5e7ffc8a000a811ba8,5.25
